Date,Hour,Load shedding,Reserve shortfall,Available headroom,Over generation
2035-01-01,0,0.0,0.0,9094.746219,1019.705656
2035-01-01,1,0.0,0.0,9676.071491,945.498157
2035-01-01,2,0.0,0.0,10079.406327,974.564201
2035-01-01,3,0.0,0.0,9071.102435,949.170369
2035-01-01,4,0.0,0.0,8393.818575,891.44382
2035-01-01,5,0.0,0.0,8842.829987,956.677625
2035-01-01,6,0.0,0.0,9382.693825,979.996529
2035-01-01,7,0.0,0.0,9717.928984,883.731142
2035-01-01,8,0.0,0.0,9242.980592,683.424622
2035-01-01,9,0.0,0.0,9899.661761,583.115809
2035-01-01,10,0.0,0.0,10352.576359,0.0
2035-01-01,11,0.0,0.0,5948.556201,190.366237
2035-01-01,12,0.0,0.0,5289.215328,623.093691
2035-01-01,13,0.0,0.0,6570.983817,357.24509
2035-01-01,14,0.0,0.0,7224.232209,313.049229
2035-01-01,15,0.0,0.0,7375.718357,176.81786
2035-01-01,16,0.0,0.0,9479.550675,0.0
2035-01-01,17,0.0,0.0,16023.888578,0.0
2035-01-01,18,0.0,0.0,15264.011962,0.0
2035-01-01,19,0.0,0.0,16080.289882,0.0
2035-01-01,20,0.0,0.0,16396.690924,0.0
2035-01-01,21,0.0,0.0,16625.986555,0.0
2035-01-01,22,0.0,0.0,17236.893415,0.0
2035-01-01,23,0.0,0.0,17809.141822,0.0
2035-01-02,0,0.0,0.0,19384.877083,0.0
2035-01-02,1,0.0,0.0,23178.537967,0.0
2035-01-02,2,0.0,0.0,22845.805875,0.0
2035-01-02,3,0.0,0.0,22615.495636,0.0
2035-01-02,4,0.0,0.0,22069.266774,0.0
2035-01-02,5,0.0,0.0,21393.669476,0.0
2035-01-02,6,0.0,0.0,21643.175324,0.0
2035-01-02,7,0.0,0.0,21699.897624,0.0
2035-01-02,8,0.0,0.0,20211.84915,0.0
2035-01-02,9,0.0,0.0,19672.15607,0.0
2035-01-02,10,0.0,0.0,19808.707088,0.0
2035-01-02,11,0.0,0.0,18346.395168,0.0
2035-01-02,12,0.0,0.0,17858.061346,0.0
2035-01-02,13,0.0,0.0,17482.287192,0.0
2035-01-02,14,0.0,0.0,17519.908617,0.0
2035-01-02,15,0.0,0.0,17649.985388,0.0
2035-01-02,16,0.0,0.0,17376.481706,0.0
2035-01-02,17,0.0,0.0,15911.96729,0.0
2035-01-02,18,0.0,0.0,15905.11161,0.0
2035-01-02,19,0.0,0.0,16459.58076,0.0
2035-01-02,20,0.0,0.0,17470.4874,0.0
2035-01-02,21,0.0,0.0,18370.488161,0.0
2035-01-02,22,0.0,0.0,19135.331195,0.0
2035-01-02,23,0.0,0.0,18021.4147,0.0
2035-01-03,0,0.0,0.0,18348.72566,0.0
2035-01-03,1,0.0,0.0,18185.245059,0.0
2035-01-03,2,0.0,0.0,16180.796983,0.0
2035-01-03,3,0.0,0.0,17033.268251,0.0
2035-01-03,4,0.0,0.0,17407.464429,0.0
2035-01-03,5,0.0,0.0,16606.060838,0.0
2035-01-03,6,0.0,0.0,16511.163358,0.0
2035-01-03,7,0.0,0.0,16059.913305,0.0
2035-01-03,8,0.0,0.0,15791.539414,0.0
2035-01-03,9,0.0,0.0,16223.92766,0.0
2035-01-03,10,0.0,0.0,15358.01196,0.0
2035-01-03,11,0.0,0.0,11321.997294,0.0
2035-01-03,12,0.0,0.0,10266.001391,472.079064
2035-01-03,13,0.0,0.0,10383.636537,1041.448932
2035-01-03,14,0.0,0.0,10361.273275,1021.313078
2035-01-03,15,0.0,0.0,11837.401327,832.170447
2035-01-03,16,0.0,0.0,11372.23165,396.221798
2035-01-03,17,0.0,0.0,10475.529404,0.0
2035-01-03,18,0.0,0.0,14711.915663,0.0
2035-01-03,19,0.0,0.0,15104.737718,0.0
2035-01-03,20,0.0,0.0,16407.726766,0.0
2035-01-03,21,0.0,0.0,16339.596986,0.0
2035-01-03,22,0.0,0.0,15807.073089,0.0
2035-01-03,23,0.0,0.0,16086.735028,0.0
2035-01-04,0,0.0,0.0,17205.646446,0.0
2035-01-04,1,0.0,0.0,16879.01918,0.0
2035-01-04,2,0.0,0.0,17031.043795,0.0
2035-01-04,3,0.0,0.0,17061.459541,0.0
2035-01-04,4,0.0,0.0,17072.972616,0.0
2035-01-04,5,0.0,0.0,15972.369344,0.0
2035-01-04,6,0.0,0.0,16137.902473,0.0
2035-01-04,7,0.0,0.0,15929.486771,0.0
2035-01-04,8,0.0,0.0,15504.648212,0.0
2035-01-04,9,0.0,0.0,16631.176542,0.0
2035-01-04,10,0.0,0.0,15906.815358,0.0
2035-01-04,11,0.0,0.0,15178.621847,0.0
2035-01-04,12,0.0,0.0,13737.410807,0.0
2035-01-04,13,0.0,0.0,15278.46903,508.224898
2035-01-04,14,0.0,0.0,16387.074624,452.386948
2035-01-04,15,0.0,0.0,15180.31918,197.658522
2035-01-04,16,0.0,0.0,14833.427569,0.0
2035-01-04,17,0.0,0.0,15619.078844,0.0
2035-01-04,18,0.0,0.0,15620.522259,0.0
2035-01-04,19,0.0,0.0,16239.901591,0.0
2035-01-04,20,0.0,0.0,16124.175217,0.0
2035-01-04,21,0.0,0.0,15712.694803,0.0
2035-01-04,22,0.0,0.0,15632.895667,0.0
2035-01-04,23,0.0,0.0,15232.834729,0.0
2035-01-05,0,0.0,0.0,16411.203652,0.0
2035-01-05,1,0.0,0.0,18006.075741,0.0
2035-01-05,2,0.0,0.0,17561.777644,0.0
2035-01-05,3,0.0,0.0,16878.143672,0.0
2035-01-05,4,0.0,0.0,16626.481258,0.0
2035-01-05,5,0.0,0.0,16901.390908,0.0
2035-01-05,6,0.0,0.0,16493.535616,0.0
2035-01-05,7,0.0,0.0,16134.435542,0.0
2035-01-05,8,0.0,0.0,16113.276504,0.0
2035-01-05,9,0.0,0.0,17384.821292,0.0
2035-01-05,10,0.0,0.0,16755.991341,0.0
2035-01-05,11,0.0,0.0,14798.001568,0.0
2035-01-05,12,0.0,0.0,13143.355303,0.0
2035-01-05,13,0.0,0.0,10743.859798,0.0
2035-01-05,14,0.0,0.0,11686.707356,33.189736
2035-01-05,15,0.0,0.0,14687.454279,0.0
2035-01-05,16,0.0,0.0,12879.744871,0.0
2035-01-05,17,0.0,0.0,11912.547975,0.0
2035-01-05,18,0.0,0.0,13256.766093,0.0
2035-01-05,19,0.0,0.0,15321.413839,0.0
2035-01-05,20,0.0,0.0,15226.747479,0.0
2035-01-05,21,0.0,0.0,13685.453101,0.0
2035-01-05,22,0.0,0.0,12279.444716,0.0
2035-01-05,23,0.0,0.0,11974.133784,0.0
2035-01-06,0,0.0,0.0,13024.971808,0.0
2035-01-06,1,0.0,0.0,14836.733401,0.0
2035-01-06,2,0.0,0.0,14443.21494,0.0
2035-01-06,3,0.0,0.0,13238.84911,0.0
2035-01-06,4,0.0,0.0,13315.562532,0.0
2035-01-06,5,0.0,0.0,13738.835195,0.0
2035-01-06,6,0.0,0.0,13935.401882,0.0
2035-01-06,7,0.0,0.0,13793.368012,0.0
2035-01-06,8,0.0,0.0,11447.097394,0.0
2035-01-06,9,0.0,0.0,10481.540042,249.357432
2035-01-06,10,0.0,0.0,11281.97471,0.0
2035-01-06,11,0.0,0.0,7492.480394,664.808318
2035-01-06,12,0.0,0.0,3726.193858,935.821369
2035-01-06,13,0.0,0.0,5428.550187,307.987323
2035-01-06,14,0.0,0.0,6850.797515,962.381918
2035-01-06,15,0.0,0.0,5869.56852,960.461317
2035-01-06,16,0.0,0.0,5239.157547,278.914867
2035-01-06,17,0.0,0.0,5466.828378,772.940725
2035-01-06,18,0.0,0.0,9589.146248,495.650089
2035-01-06,19,0.0,0.0,7545.48294,0.0
2035-01-06,20,0.0,0.0,6319.783727,410.166941
2035-01-06,21,0.0,0.0,3984.311301,1025.180195
2035-01-06,22,0.0,0.0,5031.290044,1122.723192
2035-01-06,23,0.0,0.0,5980.722767,1149.814554
2035-01-07,0,0.0,0.0,6367.114414,1170.104777
2035-01-07,1,0.0,0.0,6498.929121,1100.051808
2035-01-07,2,0.0,0.0,6000.959631,1130.259642
2035-01-07,3,0.0,0.0,4102.682655,1103.946441
2035-01-07,4,0.0,0.0,3917.639535,1042.421872
2035-01-07,5,0.0,0.0,5448.362933,1098.315283
2035-01-07,6,0.0,0.0,5441.209501,1037.85004
2035-01-07,7,0.0,0.0,8632.749251,612.272297
2035-01-07,8,0.0,0.0,8499.78163,231.708414
2035-01-07,9,0.0,0.0,9953.815894,0.0
2035-01-07,10,0.0,0.0,12031.955186,0.0
2035-01-07,11,0.0,0.0,9134.536098,0.0
2035-01-07,12,0.0,0.0,8614.663912,527.849966
2035-01-07,13,0.0,0.0,7985.406041,1073.653449
2035-01-07,14,0.0,0.0,7680.467905,1200.595534
2035-01-07,15,0.0,0.0,6526.512769,1215.208473
2035-01-07,16,0.0,0.0,5638.871912,451.932401
2035-01-07,17,0.0,0.0,8762.126578,0.0
2035-01-07,18,0.0,0.0,15861.575689,0.0
2035-01-07,19,0.0,0.0,15449.191102,0.0
2035-01-07,20,0.0,0.0,17063.525554,0.0
2035-01-07,21,0.0,0.0,17177.793347,0.0
2035-01-07,22,0.0,0.0,16880.412295,0.0
2035-01-07,23,0.0,0.0,16519.207292,0.0
2035-01-08,0,0.0,0.0,15618.716227,0.0
2035-01-08,1,0.0,0.0,15658.350831,0.0
2035-01-08,2,0.0,0.0,15663.662787,0.0
2035-01-08,3,0.0,0.0,16571.232867,0.0
2035-01-08,4,0.0,0.0,16849.418684,0.0
2035-01-08,5,0.0,0.0,15946.633413,0.0
2035-01-08,6,0.0,0.0,16690.814603,0.0
2035-01-08,7,0.0,0.0,17987.430719,0.0
2035-01-08,8,0.0,0.0,17182.383399,0.0
2035-01-08,9,0.0,0.0,17647.977989,0.0
2035-01-08,10,0.0,0.0,18261.824781,0.0
2035-01-08,11,0.0,0.0,16044.009831,0.0
2035-01-08,12,0.0,0.0,15973.729186,0.0
2035-01-08,13,0.0,0.0,11620.517303,0.0
2035-01-08,14,0.0,0.0,7359.510861,383.096812
2035-01-08,15,0.0,0.0,8472.963763,601.635365
2035-01-08,16,0.0,0.0,10595.838386,281.189915
2035-01-08,17,0.0,0.0,11030.370669,540.088882
2035-01-08,18,0.0,0.0,11585.393539,0.0
2035-01-08,19,0.0,0.0,12365.287095,0.0
2035-01-08,20,0.0,0.0,12692.118571,0.0
2035-01-08,21,0.0,0.0,12013.599233,0.0
2035-01-08,22,0.0,0.0,10509.459286,0.0
2035-01-08,23,0.0,0.0,10754.676484,0.0
2035-01-09,0,0.0,0.0,11087.496945,0.0
2035-01-09,1,0.0,0.0,10976.496521,0.0
2035-01-09,2,0.0,0.0,11694.266655,0.0
2035-01-09,3,0.0,0.0,12876.060946,0.0
2035-01-09,4,0.0,0.0,12641.799616,0.0
2035-01-09,5,0.0,0.0,13639.652936,0.0
2035-01-09,6,0.0,0.0,14453.52317,0.0
2035-01-09,7,0.0,0.0,13685.410087,0.0
2035-01-09,8,0.0,0.0,13969.324139,0.0
2035-01-09,9,0.0,0.0,13788.788334,0.0
2035-01-09,10,0.0,0.0,14576.022362,0.0
2035-01-09,11,0.0,0.0,13103.578626,0.0
2035-01-09,12,0.0,0.0,9396.38058,0.0
2035-01-09,13,0.0,0.0,9205.413686,51.038542
2035-01-09,14,0.0,0.0,10461.410089,212.539003
2035-01-09,15,0.0,0.0,9606.096836,161.657091
2035-01-09,16,0.0,0.0,10523.506577,0.0
2035-01-09,17,0.0,0.0,14010.115749,0.0
2035-01-09,18,0.0,0.0,15329.670583,0.0
2035-01-09,19,0.0,0.0,15781.417058,0.0
2035-01-09,20,0.0,0.0,16596.296445,0.0
2035-01-09,21,0.0,0.0,16503.415499,0.0
2035-01-09,22,0.0,0.0,16621.234485,0.0
2035-01-09,23,0.0,0.0,16519.347693,0.0
2035-01-10,0,0.0,0.0,16131.944623,0.0
2035-01-10,1,0.0,0.0,17001.43176,0.0
2035-01-10,2,0.0,0.0,17547.642403,0.0
2035-01-10,3,0.0,0.0,16990.093576,0.0
2035-01-10,4,0.0,0.0,16550.9335,0.0
2035-01-10,5,0.0,0.0,15912.525535,0.0
2035-01-10,6,0.0,0.0,15272.53033,0.0
2035-01-10,7,0.0,0.0,15426.503952,0.0
2035-01-10,8,0.0,0.0,16390.596697,0.0
2035-01-10,9,0.0,0.0,16767.308572,0.0
2035-01-10,10,0.0,0.0,13783.195582,0.0
2035-01-10,11,0.0,0.0,12594.777115,0.0
2035-01-10,12,0.0,0.0,15054.91604,718.922155
2035-01-10,13,0.0,0.0,14942.175077,0.0
2035-01-10,14,0.0,0.0,14105.414531,326.624008
2035-01-10,15,0.0,0.0,14123.736566,362.667956
2035-01-10,16,0.0,0.0,14443.737012,0.0
2035-01-10,17,0.0,0.0,15364.946328,444.302375
2035-01-10,18,0.0,0.0,12106.096962,195.601084
2035-01-10,19,0.0,0.0,12252.741983,43.007202
2035-01-10,20,0.0,0.0,13528.400853,0.0
2035-01-10,21,0.0,0.0,11929.788015,0.0
2035-01-10,22,0.0,0.0,13122.528474,0.0
2035-01-10,23,0.0,0.0,13974.357481,0.0
2035-01-11,0,0.0,0.0,15362.791349,0.0
2035-01-11,1,0.0,0.0,15949.294074,0.0
2035-01-11,2,0.0,0.0,16328.416202,0.0
2035-01-11,3,0.0,0.0,16128.185336,0.0
2035-01-11,4,0.0,0.0,16319.256662,0.0
2035-01-11,5,0.0,0.0,16295.795366,0.0
2035-01-11,6,0.0,0.0,15794.072707,0.0
2035-01-11,7,0.0,0.0,15171.313453,0.0
2035-01-11,8,0.0,0.0,14890.780374,0.0
2035-01-11,9,0.0,0.0,14989.760483,0.0
2035-01-11,10,0.0,0.0,13718.402769,0.0
2035-01-11,11,0.0,0.0,6574.761887,0.0
2035-01-11,12,0.0,0.0,5185.147381,100.359202
2035-01-11,13,0.0,0.0,6021.222921,608.577222
2035-01-11,14,0.0,0.0,6400.358159,742.190005
2035-01-11,15,0.0,0.0,6426.209805,718.790855
2035-01-11,16,0.0,0.0,6421.196218,489.799125
2035-01-11,17,0.0,0.0,8514.11269,0.0
2035-01-11,18,0.0,0.0,13249.008638,0.0
2035-01-11,19,0.0,0.0,16531.549063,0.0
2035-01-11,20,0.0,0.0,12082.534203,0.0
2035-01-11,21,0.0,0.0,8689.223857,39.313086
2035-01-11,22,0.0,0.0,8738.99869,330.472792
2035-01-11,23,0.0,0.0,12151.004588,0.0
2035-01-12,0,0.0,0.0,14945.926149,0.0
2035-01-12,1,0.0,0.0,15550.287785,0.0
2035-01-12,2,0.0,0.0,15837.771736,0.0
2035-01-12,3,0.0,0.0,14187.761775,0.0
2035-01-12,4,0.0,0.0,11274.630346,0.0
2035-01-12,5,0.0,0.0,10169.966729,775.382547
2035-01-12,6,0.0,0.0,11118.183272,991.556395
2035-01-12,7,0.0,0.0,10228.217349,860.368542
2035-01-12,8,0.0,0.0,10260.814714,676.030541
2035-01-12,9,0.0,0.0,12740.766312,635.901209
2035-01-12,10,0.0,0.0,11637.760521,0.0
2035-01-12,11,0.0,0.0,8968.922786,627.13412
2035-01-12,12,0.0,0.0,5953.906605,921.6543
2035-01-12,13,0.0,0.0,7199.529514,196.293536
2035-01-12,14,0.0,0.0,6410.396685,632.332131
2035-01-12,15,0.0,0.0,5572.812083,650.320715
2035-01-12,16,0.0,0.0,7889.602963,174.193392
2035-01-12,17,0.0,0.0,8431.125666,577.408444
2035-01-12,18,0.0,0.0,11339.269279,25.717258
2035-01-12,19,0.0,0.0,14084.82565,0.0
2035-01-12,20,0.0,0.0,16645.979405,0.0
2035-01-12,21,0.0,0.0,14974.393542,0.0
2035-01-12,22,0.0,0.0,15168.768723,0.0
2035-01-12,23,0.0,0.0,15780.602134,0.0
2035-01-13,0,0.0,0.0,18379.852211,0.0
2035-01-13,1,0.0,0.0,17787.903152,0.0
2035-01-13,2,0.0,0.0,17408.827423,0.0
2035-01-13,3,0.0,0.0,16883.517026,0.0
2035-01-13,4,0.0,0.0,16901.82337,0.0
2035-01-13,5,0.0,0.0,16716.162482,0.0
2035-01-13,6,0.0,0.0,16292.963308,0.0
2035-01-13,7,0.0,0.0,16859.900291,0.0
2035-01-13,8,0.0,0.0,16738.376151,0.0
2035-01-13,9,0.0,0.0,15946.417816,0.0
2035-01-13,10,0.0,0.0,15886.921533,0.0
2035-01-13,11,0.0,0.0,9883.437462,0.0
2035-01-13,12,0.0,0.0,8793.90159,119.680352
2035-01-13,13,0.0,0.0,9445.443317,653.753156
2035-01-13,14,0.0,0.0,9283.215702,859.629769
2035-01-13,15,0.0,0.0,8883.000171,809.768906
2035-01-13,16,0.0,0.0,8659.001282,484.943113
2035-01-13,17,0.0,0.0,11486.516268,0.0
2035-01-13,18,0.0,0.0,16077.642835,0.0
2035-01-13,19,0.0,0.0,16066.976781,0.0
2035-01-13,20,0.0,0.0,15530.926349,0.0
2035-01-13,21,0.0,0.0,15875.398095,0.0
2035-01-13,22,0.0,0.0,16454.369434,0.0
