Date,Hour,TotalCosts,FixedCosts,VariableCosts,LoadShedding,OverGeneration,ReserveShortfall,RenewablesUsed,RenewablesCurtailment,Demand,Price
2035-01-01,0,522548.872321,221409.184501,301139.68782,0.0,0.0,0.0,6928.19,0.0,25898.575194,20.176742
2035-01-01,1,498172.921079,221409.184501,276763.736578,0.0,0.0,0.0,8056.98,0.0,26123.177157,19.070151
2035-01-01,2,478603.812259,200281.857563,278321.954696,0.0,0.0,0.0,8522.11,0.0,26187.229096,18.27623
2035-01-01,3,471074.333079,201810.422238,269263.910841,0.0,0.0,0.0,8881.82,0.0,26236.066361,17.95522
2035-01-01,4,467688.811363,201507.677552,266181.133811,0.0,0.0,0.0,9140.33,0.0,26387.695773,17.723746
2035-01-01,5,450546.779237,188772.716932,261774.062305,0.0,0.0,0.0,9959.08,0.0,26741.518906,16.848212
2035-01-01,6,445941.214158,185013.755195,260927.458963,0.0,0.0,0.0,10463.62,0.0,27121.49166,16.442356
2035-01-01,7,440440.724814,188348.268155,252092.456659,0.0,0.0,0.0,10920.93,0.0,27295.551411,16.135989
2035-01-01,8,466165.741318,202611.345612,263554.395707,0.0,0.0,0.0,10175.06,0.0,27270.896724,17.093891
2035-01-01,9,484316.831138,205168.379127,279148.452012,0.0,0.0,0.0,9534.93,0.0,27325.528741,17.723969
2035-01-01,10,461230.663309,205144.047343,256086.615966,0.0,0.0,0.0,10678.7,0.0,27593.135592,16.715413
2035-01-01,11,462663.193463,203881.161625,258782.031838,0.0,0.0,0.0,10469.54,0.0,27479.618856,16.836594
2035-01-01,12,431357.833934,181955.93947,249401.894464,0.0,0.0,0.0,10967.37,0.0,27238.749778,15.836183
2035-01-01,13,394257.840729,169220.97885,225036.861879,0.0,0.0,0.0,12212.36,0.0,27244.323424,14.471192
2035-01-01,14,412025.383177,166380.949168,245644.434009,0.0,0.0,0.0,11699.24,0.0,27438.560533,15.01629
2035-01-01,15,468633.130234,222904.283289,245728.846945,0.0,0.0,0.0,11168.56,0.0,27949.786125,16.766967
2035-01-01,16,534647.320542,256383.765812,278263.554729,0.0,0.0,0.0,10305.87,0.0,29035.163084,18.413787
2035-01-01,17,603324.338664,266983.026589,336341.312074,0.0,0.0,0.0,9034.71,0.0,30132.015211,20.022701
2035-01-01,18,631784.071338,289673.585722,342110.485617,0.0,0.0,0.0,8209.53,0.0,29959.624573,21.08785
2035-01-01,19,670180.25038,309494.909777,360685.340604,0.0,0.0,0.0,7053.01,0.0,29601.709754,22.639917
2035-01-01,20,640411.673979,304778.608929,335633.06505,0.0,0.0,0.0,7568.18,0.0,29193.924319,21.936471
2035-01-01,21,624486.104985,278753.974416,345732.130569,0.0,0.0,0.0,6963.47,0.0,28687.701087,21.768426
