Date,Hour,Minute,Bus,Demand,Shortfall,Overgeneration,LMP,LMP DA
2035-01-01,0,0,Tennessee Colony 345,26.317859,0.0,0.0,-25.001382,-25.001382
2035-01-01,0,0,Wheeler 345,172.330631,0.0,0.0,-1000.0,-1000.0
2035-01-01,0,0,Alpine 2 345,96.408579,0.0,0.0,65.167734,65.167734
2035-01-01,0,0,Rosharon 345,81.921553,0.0,0.0,-1.662846,-1.662846
2035-01-01,0,0,Sullivan City 345,27.247793,0.0,0.0,16.390949,16.390949
2035-01-01,0,0,Prosper 345,334.016606,0.0,0.0,10.652817,10.652817
2035-01-01,0,0,Eastland 345,23.471014,0.0,0.0,-161.507456,-161.507456
2035-01-01,0,0,Fischer 345,153.840081,0.0,0.0,28.264482,28.264482
2035-01-01,0,0,Bryan 1 345,56.115463,0.0,0.0,-1.045426,-1.045426
2035-01-01,0,0,Rowlett 1 345,592.919948,0.0,0.0,6.745486,6.745486
2035-01-01,0,0,Weatherford 3 345,24.993621,0.0,0.0,-8.685765,-8.685765
2035-01-01,0,0,Odonnell 345,233.717969,0.0,0.0,-562.524168,-562.524168
2035-01-01,0,0,Dallas 10 345,438.901948,0.0,0.0,-5.733124,-5.733124
2035-01-01,0,0,O'Donnell 345,49.761206,0.0,0.0,-579.855732,-579.855732
2035-01-01,0,0,Canyon Lake 1 345,39.333507,0.0,0.0,28.651951,28.651951
2035-01-01,0,0,Adrian 1 345,15.85013,0.0,0.0,-579.855732,-579.855732
2035-01-01,0,0,Austin 17 345,161.689361,0.0,0.0,26.252885,26.252885
2035-01-01,0,0,Taft 2 345,94.360584,0.0,0.0,15.433211,15.433211
2035-01-01,0,0,Dilley 1 345,63.421588,0.0,0.0,25.754623,25.754623
2035-01-01,0,0,Dallas 8 345,268.725058,0.0,0.0,-3.700724,-3.700724
2035-01-01,0,0,San Angelo 3 345,213.879253,0.0,0.0,59.671043,59.671043
2035-01-01,0,0,Carlsbad 345,142.09215,0.0,0.0,65.495053,65.495053
2035-01-01,0,0,Dale 345,130.389026,0.0,0.0,24.296865,24.296865
2035-01-01,0,0,Brenham 345,136.525208,0.0,0.0,1.86916,1.86916
2035-01-01,0,0,Raymondville 345,172.872963,0.0,0.0,15.816234,15.816234
2035-01-01,0,0,Mccamey 345,195.336289,0.0,0.0,65.167734,65.167734
2035-01-01,0,0,Fort Worth 16 345,572.554329,0.0,0.0,-4.697834,-4.697834
2035-01-01,0,0,Art 345,86.623104,0.0,0.0,39.004598,39.004598
2035-01-01,0,0,Austin 22 345,956.837878,0.0,0.0,26.252885,26.252885
2035-01-01,0,0,Abilene 2 345,279.738131,0.0,0.0,-295.885142,-295.885142
2035-01-01,0,0,Campbellton 345,29.309115,0.0,0.0,20.24239,20.24239
2035-01-01,0,0,Corpus Christi 11 345,233.571688,0.0,0.0,15.46619,15.46619
2035-01-01,0,0,New Braunfels 2 345,244.266497,0.0,0.0,28.785677,28.785677
2035-01-01,0,0,Abilene 5 345,337.785337,0.0,0.0,-309.744382,-309.744382
2035-01-01,0,0,Rule 2 345,154.916574,0.0,0.0,-906.190653,-906.190653
2035-01-01,0,0,Cedar Creek 2 345,18.669866,0.0,0.0,23.609852,23.609852
2035-01-01,0,0,Fort Worth 15 345,142.12,0.0,0.0,-9.558692,-9.558692
2035-01-01,0,0,Lytle 345,41.504468,0.0,0.0,23.203251,23.203251
2035-01-01,0,0,Conroe 4 345,59.088154,0.0,0.0,-6.71384,-6.71384
2035-01-01,0,0,Gordon 345,52.508872,0.0,0.0,-22.754682,-22.754682
2035-01-01,0,0,Melvin 345,67.001296,0.0,0.0,50.596854,50.596854
2035-01-01,0,0,Blum 345,146.104055,0.0,0.0,-10.376896,-10.376896
2035-01-01,0,0,Rockdale 2 345,40.853034,0.0,0.0,5.207767,5.207767
2035-01-01,0,0,Richards 2 345,2.506027,0.0,0.0,-5.097173,-5.097173
2035-01-01,0,0,Tarpley 345,142.235535,0.0,0.0,39.376689,39.376689
2035-01-01,0,0,Bayside 3 345,67.927732,0.0,0.0,14.178976,14.178976
2035-01-01,0,0,San Antonio 25 345,658.197455,0.0,0.0,31.147224,31.147224
2035-01-01,0,0,Roscoe 2 345,36.094247,0.0,0.0,-406.016222,-406.016222
2035-01-01,0,0,Lopeno 345,126.919876,0.0,0.0,17.350559,17.350559
2035-01-01,0,0,Crane 2 345,439.438159,0.0,0.0,64.85454,64.85454
