Date,Demand,Renewables available,Renewables used,Renewables penetration rate,Average price,Fixed costs,Generation costs,Load shedding,Over generation,Reserve shortfall,Renewables curtailment,Number on/offs,Sum on/off ramps,Sum nominal ramps,Renewables energy payments,Renewables uplift payments,Thermal energy payments,Thermal uplift payments,Total energy payments,Total uplift payments,Total reserve payments,Total payments,Average payments
2035-01-01,663342.30299,280614.8,280614.8,70.531645,10.983362,5299341.545602,1986387.050121,0.0,15129.091585,1299.695901,0.0,189,7239.03,72315.828424,-74996512.764073,0.0,9770721.925322,0.0,-65225790.838751,0.0,37229.939128,-65188560.899623,-98.272884
2035-01-02,726983.002141,130315.78,130315.78,21.840019,9.316991,4381770.43583,2391523.796979,0.0,16.221882,0.0,0.0,54,7273.32,59886.234525,-327856.559221,0.0,12871770.379956,0.0,12543913.820735,0.0,0.0,12543913.820735,17.254755
2035-01-03,682109.488632,140776.38,140776.38,25.79135,10.329661,4844313.686391,2201646.222521,0.0,4494.768307,776.55562,0.0,118,8454.39,52578.191752,-15853885.643544,0.0,8601137.52292,0.0,-7252748.120624,0.0,0.0,-7252748.120624,-10.632821
2035-01-04,656650.15701,127531.21,127531.21,24.022367,8.484384,3568627.519614,2002644.551341,0.0,1766.338289,236.525842,0.0,124,8541.6,50539.177299,-12156560.584982,0.0,7344657.334584,0.0,-4811903.250398,0.0,12136.07386,-4799767.176538,-7.309474
2035-01-05,637031.206365,144129.36,144129.36,29.220983,7.40089,3090380.89312,1624216.704035,0.0,337.416033,9.707978,0.0,120,7472.13,42902.503904,-6700053.30587,0.0,6361352.513048,0.0,-338700.792822,0.0,26195.029944,-312505.762877,-0.490566
2035-01-06,592596.149866,290143.35,290143.35,91.562254,9.636553,4197470.579115,1513113.891082,79.067776,14507.230034,654.989388,0.0,167,6480.57,35954.641848,-71782838.494409,0.0,8081894.383993,0.0,-63700944.110415,0.0,65141.352213,-63635802.758202,-107.384773
2035-01-07,569691.449412,265551.65,265551.65,82.441044,9.7671,3862312.796633,1701920.467356,0.0,17971.175668,630.62619,0.0,146,10961.43,63801.281772,-81307603.7901,0.0,10813838.709311,0.0,-70493765.080789,0.0,22669.633448,-70471095.447341,-123.700462
2035-01-08,582052.849976,170711.03,170711.03,41.136302,8.49664,3519636.061704,1425857.366846,0.0,3646.943165,217.605922,0.0,135,9164.88,48753.360367,-27125389.031796,0.0,7364681.465265,0.0,-19760707.566531,0.0,56568.105826,-19704139.460705,-33.852836
2035-01-09,603907.619855,197020.13,197020.13,48.316794,6.544169,2737249.061472,1214824.192613,0.0,879.901818,0.0,0.0,131,8950.71,47948.730732,-7777722.348786,0.0,3795852.128575,0.0,-3981870.220211,0.0,0.0,-3981870.220211,-6.593509
2035-01-10,638003.835054,191806.45,191806.45,42.532516,10.639685,4927867.884006,1860291.732548,0.0,4766.882442,5.285238,0.0,66,4973.37,40085.616988,-41866868.914167,0.0,8340127.115509,0.0,-33526741.798659,0.0,12759.392249,-33513982.40641,-52.529437
