Date,Hour,TotalCosts,FixedCosts,VariableCosts,LoadShedding,OverGeneration,ReserveShortfall,RenewablesUsed,RenewablesCurtailment,Demand,Price
2035-01-01,0,348902.865016,160326.430218,188576.434798,0.0,1318.995649,0.0,10141.863843,28.250625,25898.575194,13.471894
2035-01-01,1,324147.601068,161280.527592,162867.073477,0.0,1223.465169,0.0,10858.146184,6.769776,26123.177157,12.408429
2035-01-01,2,314672.472357,144954.184043,169718.288314,0.0,1260.378638,0.0,11263.048834,1.161887,26187.229096,12.016257
2035-01-01,3,308893.486374,145015.390474,163878.095899,0.0,1229.569336,0.0,11499.236182,0.0,26236.066361,11.77362
2035-01-01,4,316970.827819,133577.257212,183393.570607,0.0,1159.555409,0.0,11697.022298,0.0,26387.695773,12.012069
2035-01-01,5,314223.818705,132440.004352,181783.814353,0.0,1250.233683,0.0,12290.642326,0.0,26741.518906,11.75041
2035-01-01,6,316162.922334,132440.004352,183722.917982,0.0,1288.019749,0.0,12663.472597,0.0,27121.49166,11.657284
2035-01-01,7,313415.417336,134261.528214,179153.889122,0.0,1175.291842,0.0,12926.750826,0.0,27295.551411,11.482289
2035-01-01,8,330245.542022,148027.280964,182218.261058,0.0,997.875,0.0,12189.968502,0.0,27270.896724,12.109816
2035-01-01,9,327373.575924,151774.489081,175599.086843,0.0,866.501064,0.0,12042.855838,0.0,27325.528741,11.980503
2035-01-01,10,283213.062432,175939.025492,107274.03694,0.0,0.0,0.0,12865.475299,0.0,27593.135592,10.263896
2035-01-01,11,307677.939376,170712.636894,136965.302481,0.0,509.700103,0.0,13426.277843,210.322196,27479.618856,11.196587
2035-01-01,12,302299.879911,135836.137217,166463.742694,0.0,1206.127705,0.0,14586.117146,130.5,27238.749778,11.098155
2035-01-01,13,286407.244948,123887.608087,162519.636861,0.0,589.048041,0.0,14439.686479,133.623823,27244.323424,10.512548
2035-01-01,14,290467.28587,134091.97547,156375.310401,0.0,603.919422,0.0,14632.514402,130.5,27438.560533,10.586098
2035-01-01,15,301852.125003,134441.008597,167411.116406,0.0,462.783116,0.0,14262.694612,88.5,27949.786125,10.799801
2035-01-01,16,297668.236561,224427.177735,73241.058826,0.0,0.0,0.0,12861.084133,0.0,29035.163084,10.251991
2035-01-01,17,335852.60626,184766.986329,151085.619931,0.0,0.0,0.0,12152.80916,0.0,30132.015211,11.146039
2035-01-01,18,352896.888031,194150.430655,158746.457376,0.0,0.0,0.0,10794.385945,0.0,29959.624573,11.779082
2035-01-01,19,378285.220402,211487.71431,166797.506092,0.0,0.0,0.0,9227.92127,0.0,29601.709754,12.779168
2035-01-01,20,376953.112397,206405.213381,170547.899016,0.0,0.0,0.0,8860.903696,0.0,29193.924319,12.91204
2035-01-01,21,380550.821713,211002.3493,169548.472413,0.0,0.0,0.0,8212.937774,0.0,28687.701087,13.265295
2035-01-01,22,384720.710221,199116.063735,185604.646485,0.0,0.0,0.0,7342.919958,0.0,27969.480212,13.755018
2035-01-01,23,373327.745532,199116.063735,174211.681797,0.0,0.0,0.0,7087.280807,0.0,27230.779419,13.709771
2035-01-02,0,370846.716893,211311.75352,159534.963373,0.0,0.0,0.0,6527.163636,0.0,26649.081515,13.915929
2035-01-02,1,364729.455293,210006.980698,154722.474594,0.0,0.0,0.0,6525.562749,0.0,26423.281206,13.803337
2035-01-02,2,372349.158967,210006.980698,162342.178269,0.0,0.0,0.0,6078.948326,0.0,26313.819588,14.150327
2035-01-02,3,377613.91454,211307.760423,166306.154117,0.0,0.0,0.0,6073.40812,0.0,26540.758865,14.227698
2035-01-02,4,389827.919076,211305.787245,178522.131832,0.0,0.0,0.0,6196.871942,0.0,27208.679578,14.327337
2035-01-02,5,404717.395692,212876.787361,191840.608331,0.0,0.0,0.0,6353.374512,0.0,28019.746203,14.444006
2035-01-02,6,398375.446658,212874.084515,185501.362143,0.0,0.0,0.0,6664.876897,0.0,28067.187441,14.193636
2035-01-02,7,399531.108341,223242.010237,176289.098104,0.0,0.0,0.0,6955.729712,0.0,28413.151391,14.061485
2035-01-02,8,452879.860067,243709.676214,209170.183852,0.0,0.0,0.0,5630.069074,0.0,29363.888999,15.42302
2035-01-02,9,495799.841963,248882.033905,246917.808058,0.0,0.0,0.0,5025.869945,0.0,30602.011426,16.201544
2035-01-02,10,487944.049859,250421.108144,237522.941714,0.0,0.0,0.0,6324.858456,0.0,31579.420983,15.45133
2035-01-02,11,524872.470552,267917.062258,256955.408295,0.0,0.0,0.0,5605.274581,0.0,32380.908682,16.209319
2035-01-02,12,528375.231738,298363.074234,230012.157504,0.0,0.0,0.0,6310.180006,0.0,32942.180911,16.039473
2035-01-02,13,556909.320544,231433.245508,325476.075036,0.0,25.13587,0.0,7120.480446,88.5,33356.545172,16.695654
2035-01-02,14,563905.972261,231433.245508,332472.726753,0.0,141.348904,0.0,7279.764199,88.5,33640.456531,16.762732
2035-01-02,15,538209.424445,291945.091983,246264.332461,0.0,0.0,0.0,7150.025083,0.0,33810.27019,15.918519
2035-01-02,16,534485.601868,274842.358023,259643.243845,0.0,0.0,0.0,6768.297095,0.0,33932.825203,15.751285
2035-01-02,17,571749.029117,279616.697188,292132.331929,0.0,0.0,0.0,5133.359049,0.0,33901.411363,16.865051
2035-01-02,18,575350.109141,272908.937112,302441.172029,0.0,0.0,0.0,3822.041513,0.0,32742.057933,17.572204
2035-01-02,19,565138.748968,271089.419576,294049.329392,0.0,0.0,0.0,3316.702098,0.0,31801.810317,17.770647
2035-01-02,20,539883.935881,262385.200579,277498.735301,0.0,0.0,0.0,3472.166013,0.0,30906.835973,17.468108
2035-01-02,21,513023.095698,255162.953182,257860.142516,0.0,0.0,0.0,3914.746686,0.0,30220.261094,16.97613
2035-01-02,22,484115.40472,247549.841056,236565.563665,0.0,0.0,0.0,4372.825482,0.0,29445.569767,16.441027
2035-01-02,23,507944.28277,247549.841056,260394.441715,0.0,0.0,0.0,2665.253548,0.0,28720.841811,17.685564
2035-01-03,0,496686.712644,258627.985498,238058.727146,0.0,0.0,0.0,1978.05675,0.0,28073.751919,17.69221
2035-01-03,1,462762.667365,252497.207363,210265.460002,0.0,0.0,0.0,2053.983865,0.0,27769.781993,16.664253
2035-01-03,2,460785.04714,225981.964327,234803.082813,0.0,0.0,0.0,1965.021077,0.0,27613.710691,16.686821
2035-01-03,3,455326.725431,220500.171502,234826.553928,0.0,0.0,0.0,2278.848716,0.0,27689.330373,16.444122
2035-01-03,4,451572.865112,220500.171502,231072.69361,0.0,0.0,0.0,2910.611657,0.0,28162.468466,16.034563
2035-01-03,5,479117.463685,251115.310489,228002.153196,0.0,0.0,0.0,2178.392556,0.0,28601.416179,16.751529
2035-01-03,6,480671.126025,239263.657432,241407.468593,0.0,0.0,0.0,2344.298824,0.0,28402.692604,16.923435
2035-01-03,7,465332.37176,226700.530256,238631.841503,0.0,0.0,0.0,3507.663667,0.0,28783.821098,16.166456
2035-01-03,8,460307.427989,221558.644555,238748.783434,0.0,0.0,0.0,3838.856019,0.0,28794.461391,15.985971
2035-01-03,9,433480.467296,220341.497322,213138.969974,0.0,0.0,0.0,4725.324301,0.0,28532.356454,15.192593
2035-01-03,10,369607.063807,218339.062302,151268.001505,0.0,0.0,0.0,7456.754459,0.0,28467.336513,12.983549
2035-01-03,11,325135.104843,204640.591377,120494.513466,0.0,0.0,0.0,9722.226434,0.0,28286.486522,11.494362
2035-01-03,12,353932.003054,148385.476063,205546.52699,0.0,718.07799,0.0,11690.910306,130.5,27905.266238,12.683341
2035-01-03,13,290251.004704,143249.644412,147001.360292,0.0,1338.698179,0.0,13509.127116,130.5,27579.14349,10.524294
2035-01-03,14,283773.943338,137411.235956,146362.707382,0.0,1328.101582,0.0,13493.067211,123.376067,27317.678454,10.387923
2035-01-03,15,279051.674175,138412.477224,140639.196952,0.0,1119.945959,0.0,13291.435694,88.5,27427.429574,10.174183
2035-01-03,16,292860.74225,143139.932389,149720.809861,0.0,632.618157,0.0,12424.921335,88.5,28109.789096,10.418461
2035-01-03,17,345526.752814,188292.042926,157234.709888,0.0,0.0,0.0,9520.811192,0.0,28972.521446,11.926016
2035-01-03,18,426191.674147,241964.937617,184226.73653,0.0,0.0,0.0,5864.656673,0.0,29297.264945,14.547149
2035-01-03,19,495021.183201,233755.709219,261265.473981,0.0,0.0,0.0,2699.863909,0.0,29403.124313,16.835666
2035-01-03,20,487574.178721,238897.717483,248676.461239,0.0,0.0,0.0,2865.848905,0.0,29369.71246,16.601258
2035-01-03,21,475142.024838,237802.648766,237339.376072,0.0,0.0,0.0,3445.238852,0.0,29453.049984,16.132184
2035-01-03,22,453000.962397,219819.458703,233181.503694,0.0,0.0,0.0,4181.470915,0.0,29228.801698,15.498445
2035-01-03,23,444100.066742,226306.776006,217793.290737,0.0,0.0,0.0,3975.895643,0.0,28868.092733,15.383769
2035-01-04,0,437909.508777,217453.774993,220455.733784,0.0,0.0,0.0,3851.476306,0.0,28561.432504,15.332197
2035-01-04,1,435364.089921,217451.597867,217912.492054,0.0,0.0,0.0,4036.375855,0.0,28643.012348,15.199661
2035-01-04,2,431314.700696,217451.597867,213863.102829,0.0,0.0,0.0,4284.143535,0.0,28717.390821,15.019286
2035-01-04,3,429841.770719,217451.597867,212390.172852,0.0,0.0,0.0,4831.670631,0.0,29208.779573,14.716184
2035-01-04,4,428782.525852,217451.597867,211330.927985,0.0,0.0,0.0,5470.083939,0.0,29813.170428,14.382319
2035-01-04,5,452862.927166,228425.733724,224437.193442,0.0,0.0,0.0,5229.254142,0.0,30620.935559,14.789324
2035-01-04,6,465003.331765,222629.781505,242373.55026,0.0,0.0,0.0,5178.756748,0.0,30987.926636,15.005952
2035-01-04,7,462559.254116,225501.561347,237057.692769,0.0,0.0,0.0,5420.110672,0.0,31137.694194,14.855283
2035-01-04,8,458638.296525,219521.288997,239117.007527,0.0,0.0,0.0,5157.519126,0.0,30544.717801,15.015306
2035-01-04,9,416483.85823,208890.967632,207592.890598,0.0,0.0,0.0,5272.048749,0.0,28715.562362,14.503768
2035-01-04,10,351054.599104,193031.255655,158023.343449,0.0,0.0,0.0,6641.105571,0.0,27240.250125,12.887349
2035-01-04,11,301308.391142,224109.729018,77198.662124,0.0,0.0,0.0,8107.697053,0.0,25955.636074,11.608592
2035-01-04,12,309753.845107,162370.079836,147383.765271,0.0,216.142571,0.0,9791.109526,130.5,24850.002711,12.464942
2035-01-04,13,273954.361991,163561.52295,110392.839041,0.0,800.419183,0.0,10803.924691,335.5,24194.092647,11.323192
2035-01-04,14,292545.360213,164654.622841,127890.737372,0.0,752.993783,0.0,9957.636592,234.653643,23775.433536,12.304523
2035-01-04,15,313880.870815,164652.676575,149228.19424,0.0,476.313985,0.0,8746.801993,130.5,23837.110121,13.16774
2035-01-04,16,284265.948368,218451.105909,65814.842459,0.0,0.0,0.0,7168.163655,0.0,24177.688277,11.757367
2035-01-04,17,340404.40236,187617.004151,152787.398209,0.0,0.0,0.0,5096.763841,0.0,24880.490421,13.681579
2035-01-04,18,404894.858514,215144.334967,189750.523547,0.0,0.0,0.0,3318.877131,0.0,25972.214284,15.589539
2035-01-04,19,449425.828111,215129.439696,234296.388415,0.0,0.0,0.0,1878.662798,0.0,26503.636095,16.957139
2035-01-04,20,451845.30655,215129.439696,236715.866854,0.0,0.0,0.0,2139.021873,0.0,26867.674955,16.817432
2035-01-04,21,439684.384248,215129.439696,224554.944552,0.0,0.0,0.0,2985.369114,0.0,27190.192084,16.170698
2035-01-04,22,411518.732451,206066.832464,205451.899987,0.0,0.0,0.0,4200.058729,0.0,27192.24121,15.133682
2035-01-04,23,397021.428595,217217.908727,179803.519867,0.0,0.0,0.0,4507.697693,0.0,27062.872244,14.670336
2035-01-05,0,386082.360327,222849.384682,163232.975646,0.0,0.0,0.0,4782.125004,0.0,27126.716344,14.232551
2035-01-05,1,383885.1299,210427.382132,173457.747768,0.0,0.0,0.0,5146.741294,0.0,27510.05761,13.954356
2035-01-05,2,393793.620704,210427.382132,183366.238571,0.0,0.0,0.0,5136.530065,0.0,27929.875112,14.099369
